clothes,A -> A,"('do you keep them on the clothes', 'Investigator')","[0, ['oh you have your name on the back of your shirt you have your name back here want to see your name', 'Investigator', '26.5262120372082', 'male', 'Clark']]",shirt,26.5262120372082,male,Clark
toy,C -> A,"('be toy', 'Target_Child')","[0, ['hey you know how to put that in that good oops wait a second look_it look there a little piece of tape stick out', 'Investigator', '27.0662641943366', 'male', 'Clark']]",stick,28.1319944968069,male,Clark
toy,C -> A,"('be toy', 'Target_Child')","[3, ['in the book', 'Investigator', '26.5262120372082', 'male', 'Clark']]",book,28.1319944968069,male,Clark
animal,A -> A,"('I tire of this one I mean I tire of this one all these animal let do this one tell me what this one be about', 'Investigator')","[4, ['that a dog', 'Investigator', '27.69050699193', 'male', 'Clark']]",dog,26.7561962257952,male,Clark
furniture,A -> A,"('that because you roll on the furniture on those little mommy and daddy bed you just roll over on a mommy and daddy bed', 'Investigator')","[2, ['that because you roll on the furniture on those little mommy and daddy bed you just roll over on a mommy and daddy bed', 'Investigator', '26.5262120372082', 'male', 'Clark']]",bed,26.5262120372082,male,Clark
animal,A -> C,"('what kind of animal be that', 'Investigator')","[1, ['a man take a purse to back to the bunny and take a purse she mad', 'Target_Child', '28.821947062568', 'male', 'Clark']]",bunny,29.0663052629417,male,Clark
clothes,A -> A,"('this be another clothes see it just like this shirt', 'Investigator')","[2, ['this be another clothes see it just like this shirt', 'Investigator', '30.1977453335797', 'male', 'Clark']]",shirt,30.1977453335797,male,Clark
food,A -> A,"('it a toy apple it a fake apple so she not steal any real food', 'Mother')","[2, ['it a toy apple it a fake apple so she not steal any real food', 'Mother', '30.8876978993408', 'male', 'Clark']]",apple,30.8876978993408,male,Clark
toy,C -> C,"('that be fun and I play wife my toy after go to play wife my toy and read a book', 'Target_Child')","[2, ['that be fun and I play wife my toy after go to play wife my toy and read a book', 'Target_Child', '32.0992217499333', 'male', 'Clark']]",book,32.0992217499333,male,Clark
toy,A -> A,"('when do you play with your toy and read a book', 'Investigator')","[2, ['when do you play with your toy and read a book', 'Investigator', '32.0992217499333', 'male', 'Clark']]",book,32.0992217499333,male,Clark
