animal,"('I Shem where that where that animal who come a out and a garbage', 'Target_Child')","[0, ('I want juice in in a rice and juice in my cup', 'Target_Child'), 'ant']",
animal,"('which animal', 'Father')","[0, ('I want to take off this', 'Target_Child'), 'ant']",
animal,"('yeah that where the animal sit last night', 'Target_Child')","[1, ('oh and he he pull up the pig from you pull up the pig from from the train with a crank', 'Target_Child'), 'pig']",
animal,"('animal can smell thing that you can smell sometimes they can tell where man and other animal be watch a dog sniff in the wind', 'Investigator')","[2, ('animal can smell thing that you can smell sometimes they can tell where man and other animal be watch a dog sniff in the wind', 'Investigator'), 'dog']",
animal,"('okay but first you have_to decide where you want all the animal to be around the table and then you hafta put them there', 'Investigator')","[2, ('okay but first you have_to decide where you want all the animal to be around the table and then you hafta put them there', 'Investigator'), 'ant']",
animal,"('we want to invite animal right now', 'Target_Child')","[2, ('we want to invite animal right now', 'Target_Child'), 'ant']",
animal,"('the animal they all go away', 'Investigator')","[3, ('yeah they put it on the back of the donkey so he can carry it it wheat', 'Investigator'), 'donkey']","[4, ('you want this one', 'Investigator'), 'ant']"
animal,"('I tire of this one I mean I tire of this one all these animal let do this one tell me what this one be about', 'Investigator')","[4, ('that a dog', 'Investigator'), 'dog']",
animal,"('somewhere live the there that animal go way', 'Target_Child')",,
animal,"('here that animal go way', 'Target_Child')",,
animal,"('the animal', 'Target_Child')",,
animal,"('what kind of animal be that', 'Investigator')",,
animal,"('look at all these animal what do they have with them', 'Mother')",,
animal,"('that why there all these jungle animal look at all these little kid in this bus they not sit down in their seat they all stand up do you know who this be', 'Investigator')",,
animal,"('they see animal wanna wet', 'Target_Child')",,
animal,"('okay to make sure that it be not a poisonous snake she go to the zoo they identify it as a boa constrictor so she call her animal Cricter', 'Investigator')",,
animal,"('and a_lot_of the animal do have any water to drink', 'Father')",,
animal,"('hi animal', 'Target_Child')",,
animal,"('I go to animal movie', 'Target_Child')",,
animal,"('animal', 'Target_Child')",,
animal,"('like what animal', 'Father')",,
animal,"('another what another animal', 'Investigator')",,
animal,"('do it have animal in it', 'Investigator')",,
animal,"('first let get all the animal around the table okay', 'Investigator')",,
animal,"('what be all these animal name', 'Investigator')",,
animal,"('now let put all the animal here', 'Investigator')",,
animal,"('no no no no put the other the small animal right over here', 'Target_Child')",,
animal,"('oh I say you hafta put all these animal up next_to the table', 'Investigator')",,
animal,"('I think all the doll and all all the animal fall down', 'Target_Child')",,
clothes,"('do you keep them on the clothes', 'Investigator')","[0, ('oh you have your name on the back of your shirt you have your name back here want to see your name', 'Investigator'), 'shirt']",
clothes,"('do mother goat buy fun clothes wear overcoat tugboat', 'Investigator')","[2, ('do mother goat buy fun clothes wear overcoat tugboat', 'Investigator'), 'coat']",
clothes,"('this be another clothes see it just like this shirt', 'Investigator')","[2, ('this be another clothes see it just like this shirt', 'Investigator'), 'shirt']",
clothes,"('yeah big boy wear those kind of clothes these be long pant and jacket like daddy daddy wear them too', 'Investigator')","[2, ('yeah big boy wear those kind of clothes these be long pant and jacket like daddy daddy wear them too', 'Investigator'), 'jacket']",
clothes,"('you hit person with the clothes', 'Investigator')",,
clothes,"('okay let go look for it you already have all your clothes on so we do have_to get dress right', 'Investigator')",,
clothes,"('here maybe we should give mommy these clothes', 'Investigator')",,
clothes,"('where do you put clothes', 'Investigator')",,
clothes,"('where do you put the dirt clothes', 'Investigator')",,
clothes,"('you wanna put your dirty clothes away', 'Investigator')",,
clothes,"('here you can carry them Shem we can ask mommy where we should put the clothes', 'Investigator')",,
clothes,"('yeah that another clown that a clown get dress see put on the clothes there she put on the shoe', 'Investigator')",,
clothes,"('hang up the clothes', 'Mother')",,
clothes,"('no need clothes in the sky', 'Target_Child')",,
clothes,"('now you can button it you do have any button on your clothes wanna see the dog', 'Investigator')",,
clothes,"('to iron the clothes with', 'Investigator')",,
clothes,"('yeah those be my clothes right', 'Investigator')",,
clothes,"('see there some more of them these be all my clothes', 'Investigator')",,
clothes,"('clothes', 'Investigator')",,
clothes,"('sometimes I a little lady and put on long clothes big shoe with high heel I walk on my toe', 'Investigator')",,
clothes,"('my little brother use to do this when he be two he always want me to take my clothes off', 'Investigator')",,
clothes,"('well no I wanna keep my clothes on', 'Investigator')",,
clothes,"('most person like to keep their clothes on in fact mommy do too but when they have_to feed their baby they have no choice', 'Mother')",,
clothes,"('so let me put a diaper on my shoulder so I can take Ana so all my clothes will be spit up on hi', 'Investigator')",,
clothes,"('there be clothes in his umbrella that can make Dudley look like anything', 'Mother')",,
clothes,"('I take my clothes off', 'Target_Child')",,
clothes,"('those be call clothes', 'Investigator')",,
